Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4117,0,130.0,178.8141442103492,40.178996000122424,1727.0664540001235,25024.0,13.05135470710133,0.0,130,210,250,280,320,360,470,710,1300,1700,1700
GET,/prod/bike,4139,1,120.0,164.87148726238112,25.71568999996998,1641.015730999925,224.94563904324716,13.121097190355211,0.0031701128751764223,120,200,210,230,330,380,460,610,1300,1600,1600
GET,/prod/station,4103,0,130.0,169.35285061345485,36.49925000013354,1616.6593990001275,233.0,13.00697312684886,0.0,130,200,220,230,350,390,510,700,1300,1600,1600
GET,/prod/top-station,4147,0,130.0,168.53594681721734,36.95781999999781,1504.9202199998035,8925.0,13.146458093356623,0.0,130,200,220,230,340,380,450,570,1300,1500,1500
GET,/prod/trip-hour,4014,1,140.0,184.04358660214177,37.315015999865864,4009.000171000025,20185.96985550573,12.72483308095816,0.0031701128751764223,140,200,230,250,360,470,560,700,1300,4000,4000
GET,/prod/trip-month,3999,0,130.0,173.6596027711897,35.96369199999572,1845.259194999926,10262.0,12.677281387830513,0.0,130,200,220,240,350,390,490,650,1300,1800,1800
,Aggregated,24519,2,130.0,173.154286190871,25.71568999996998,4009.000171000025,10766.632122027815,77.7279975864507,0.006340225750352845,130,200,220,240,340,400,500,670,1300,1700,4000
