Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,963,0,120.0,123.16274190445317,51.8976549992658,396.0898500008625,25024.0,8.03696128305592,0.0,120,130,140,150,160,170,190,240,400,400,400
GET,/prod/bike,980,398,140.0,132.14486064083462,32.13578499889991,392.4967109996942,148.24285714285713,8.17883910425213,3.321610166828926,140,160,170,170,190,210,280,310,390,390,390
GET,/prod/station,1002,333,150.0,141.77864903890512,31.26697100015008,799.6506050003518,167.52994011976048,8.362445696388402,2.7791361446081218,150,170,170,180,200,220,250,340,530,800,800
GET,/prod/top-station,1050,347,170.0,161.00357370195553,33.80040400043072,627.5344210007461,5987.397142857143,8.763041897412997,2.895976703240295,170,190,210,210,240,250,290,350,600,630,630
GET,/prod/trip-hour,1023,232,270.0,242.52732510458202,37.393772001451,757.9034610007511,15620.169110459434,8.537706534336662,1.9362149716188715,270,290,310,320,340,360,390,460,760,760,760
GET,/prod/trip-month,981,360,180.0,164.7130020040936,34.76375900027051,648.1944850002037,6509.339449541284,8.187184858440142,3.004471507684456,180,200,220,220,250,260,300,380,650,650,650
,Aggregated,5999,1670,150.0,161.5123439163275,31.26697100015008,799.6506050003518,8845.327054509085,50.06617937388625,13.93740949398067,150,180,210,220,270,310,350,370,670,800,800
