Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,34,0,270.0,282.31267750002456,76.38541200003601,856.9341049999366,25024.0,0.2701595770433184,0.0,290,340,360,370,410,500,860,860,860,860,860
GET,/prod/bike,29,0,270.0,317.38029951726935,69.33153599993602,757.8136429999631,225.0,0.2304302274781245,0.0,270,360,390,470,580,640,760,760,760,760,760
GET,/prod/station,32,0,250.0,277.7058947500137,69.36348199997155,676.2031420000767,233.0,0.25426783721724083,0.0,260,340,390,430,560,610,680,680,680,680,680
GET,/prod/top-station,32,1,250.0,277.2149723437636,71.21958899983838,757.8001970000514,8646.09375,0.25426783721724083,0.007945869913038776,270,310,360,420,470,500,760,760,760,760,760
GET,/prod/trip-hour,33,0,250.0,339.67861181818216,64.47814100010874,1396.1579690001145,20191.0,0.26221370713027964,0.0,250,440,490,500,620,700,1400,1400,1400,1400,1400
GET,/prod/trip-month,24,0,240.0,299.66020224999096,129.94343099990147,650.2590699999473,10262.0,0.19070087791293064,0.0,260,300,410,430,500,600,650,650,650,650,650
,Aggregated,184,1,260.0,298.7030788695779,64.47814100010874,1396.1579690001145,11163.385869565218,1.4620400639991349,0.007945869913038776,260,340,390,430,500,620,760,860,1400,1400,1400
