Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1207,0,160.0,207.06800017812782,39.33466899999871,1402.818969000002,25024.0,24.018337897641135,0.0,160,240,290,320,410,520,680,820,1400,1400,1400
GET,/prod/bike,1268,783,120.0,176.73133132018899,18.778600999993955,1565.0982650000033,108.2910094637224,25.23218927440676,15.581075868975153,120,180,240,270,400,480,650,760,1300,1600,1600
GET,/prod/station,1233,728,130.0,177.03350725304134,20.14009799999883,2755.7041499999996,116.6853203568532,24.535717172983862,14.486619709596312,130,180,240,260,370,470,670,860,1900,2800,2800
GET,/prod/top-station,1245,742,140.0,196.85990858714825,19.24842299999341,2218.2983719999997,3627.298795180723,24.774507607757428,14.765208550165472,140,210,280,310,440,510,680,830,1900,2200,2200
GET,/prod/trip-hour,1223,885,120.0,198.94771223139807,19.721821000004525,3314.673625999994,5606.228945216681,24.336725144005893,17.61079456455046,120,210,270,320,500,610,780,900,1600,3300,3300
GET,/prod/trip-month,1218,768,140.0,186.59131612807863,20.04206899999872,1823.0253720000037,3814.07881773399,24.237229129516905,15.282587825508196,140,190,230,280,420,530,690,840,1700,1800,1800
,Aggregated,7394,3906,130.0,190.42204220530155,18.778600999993955,3314.673625999994,6289.303083581282,147.13470622631198,77.72628651879559,130,200,260,290,420,530,690,840,1700,3300,3300
