Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,12220,0,92,112.60339651317497,39.2246320002414,1143.1543349999629,25024.0,38.65662553256494,0.0,92,110,130,140,190,230,310,370,640,840,1100
GET,/prod/bike,12022,182,81,99.87186597637562,28.781193000213534,796.2809679997918,222.13874563300615,38.03027431689818,0.5757369760169246,81,100,120,130,170,210,270,310,580,790,800
GET,/prod/station,12189,570,81,99.88119045549368,23.97097900029621,1102.745094999591,223.78759537287718,38.55856044324337,1.8031322875255331,81,100,120,130,170,210,270,320,600,1100,1100
GET,/prod/top-station,12096,23,86,104.42133299305276,33.68782299958184,1114.7740330002307,8908.097966269841,38.264365175278684,0.07275796949664433,86,110,120,130,180,220,280,330,610,1100,1100
GET,/prod/trip-hour,12329,916,90,109.16214354700172,22.440317000018695,1133.5754449996784,18693.556573931382,39.00143504017947,2.897665219953313,90,110,130,140,190,240,290,360,630,1100,1100
GET,/prod/trip-month,11925,732,86,104.11911618440361,19.82399799999257,804.3664319998243,9634.290817610063,37.723425489021025,2.3156014639801583,86,110,120,140,180,220,280,320,650,800,800
,Aggregated,72781,2423,86,105.03683489914879,19.82399799999257,1143.1543349999629,10501.44555584562,230.23468599718566,7.664893916972574,86,110,120,140,180,220,280,330,630,1100,1100
