Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15698,13,250.0,284.94861775461857,40.07897599967691,65532.44787899985,25003.27685055421,49.58239483113392,0.04106071683047145,250,320,380,410,510,580,680,720,920,7200,66000
GET,/prod/bike,15490,134,240.0,273.8599678344703,34.80394100006379,2295.54981199999,223.351065203357,48.92542336184637,0.4232412350217827,240,320,370,410,510,580,670,720,900,1500,2300
GET,/prod/station,15701,118,240.0,273.3959481387174,29.616720999911195,1556.913551999969,231.51028596904655,49.59187038117172,0.3727049681535101,240,320,380,410,510,580,660,720,900,1400,1600
GET,/prod/top-station,15646,204,250.0,277.8575226089089,36.57454799986226,1397.5334199999452,8809.08717883165,49.41815196381203,0.6443374025704751,250,320,380,410,520,590,680,720,890,1300,1400
GET,/prod/trip-hour,15289,5,250.0,281.7771820207333,40.99370599988106,1604.4900699998834,20184.396886650535,48.2905615093137,0.015792583396335175,250,330,380,420,520,590,670,730,950,1600,1600
GET,/prod/trip-month,15369,591,240.0,275.70613140282427,22.18837899999926,1511.1533660001442,9868.733944954129,48.54324284365506,1.8666833574468176,240,320,380,410,510,580,670,730,990,1500,1500
,Aggregated,93193,1065,240.0,277.9241118236135,22.18837899999926,65532.44787899985,10705.684815383129,294.3516448909328,3.363820263419392,240,320,380,410,510,590,670,720,920,1500,66000
